hen-bu-man-yi , 陈景润“1+2”证明论文简化版原文
zhou-heng-yi-36 , 好的好的，我们都等着呢！1月1号是吧？没问题，31号晚上我一定熬到十二点。我们这种“官科”都算不上的不敢乱评价您，估计到时候您的证明我这种高中数学都不行的人也看不懂。那些水平高深的数学家又不会专门上知乎看您的文章，那可怎么办才好？我真的是为题主感到非常的焦虑，不过单纯论手法，题主比大多数民科都强哦一般民科创造奇迹以后都是立马发到网上然后光速打脸。。这个小朋友故意拖个几天，挑个黄道吉日，还弄个高中生人设，喷又不能喷的过分，还能顺便涨粉。你看，人家粉丝都500＋唉:-(，是我咸吃萝卜淡操心了。题主肯定有办法引起数学大V们的关注，嗯⊙∀⊙！说到哥德巴赫猜想，西游记里充满了各种难以置信的奇思妙想，明年由我带头，中美合资的3D西游记，就要开拍了，文体两开花，希望大家多多关注！我现在有点不爽了，昨天看到那个匿名老师的回答，原来已经变得很友善了。但是，昨天11点多，题主又发了一篇文章，申明自己的证明根本没有外传过。我现在想知道，这个匿名的老师到底是不是真的？他的言辞为什么与题主不符合？是题主自己作，不承认证明有问题，还是这个匿名用户不存在，是某人假冒的？既然自称是题主的老师，说话还有理有据的，那按他的身份应该是题主的高中数学老师，为什么题主申明里用的是“那位老师”！我对这个称谓很感兴趣。不是我黑暗，我现在怀疑是题主匿名回答，希望匿名用户或者题主出来解释解释？
semilea , 我初中的时候也以为自己证明了哥德巴赫猜想嗯，我证了“1+1=2”
 , 是你这个想法就跟古代农民想着当了皇帝就有金扁担用了一样。其一，作为数学理论的皇冠之一，也可以说是人类难题之一的哥德巴赫猜想能看懂基本是理科非数学专业大本毕业的水平了。陈景润聪明么？你知道建国后中国顶尖大学出过多少数学天才么？就像农民看皇帝一样，你根本不知道其中的区别和难度。其二，如果真能证明，那么你要想的不是被保送进北大还是清华，而是上至普林斯顿下至清北交大的数学系正教授职位你准备接受哪个的问题。至于荣誉教授就随你喜欢了。
paranoia-11-67 , 我看好你呀但是如果这次的证明被专业人士指出存疑类的问题，那你就要乖乖准备高考好吗？咱大学还有大把的时间可以研究呀，不要让你的聪明因为社会而埋没。加油 
windoze , 如果有人能搞定哥德巴赫猜想，我脚着他能被直接保送到随便哪所学校……当教授，再附赠tenure。所以题主还是早点睡吧，马上要期末考试了。
 , 如果你的方法简单到可以怀疑“是否可以保送”，那就一定不行。好好体会一下“伪证”的力量 QwQ哦对了，你一定没有过联赛二试 4 题全部“证明”却只拿到 1 题分数的经历。
tong-nai-sai-gao , 我觉得你参加 2020年的美国大选获胜概率会比验证哥德巴赫猜想大很多赶紧找个新东方补英语还来得及
tong-nai-sai-gao , 我觉得你参加 2020年的美国大选获胜概率会比验证哥德巴赫猜想大很多赶紧找个新东方补英语还来得及
wei-sha-9-74 , 我儿子5岁了，我家不在重点小学的学区。请问我儿子要是证明了哥德巴赫猜想，能不能保送重点小学啊？急，在线等
la-la-la-4-25-46 , 这里有个简单的习题，你能解决的话也能上清北，哥猜都有了，有时间试试这个吧。任何一个正整数经过以下规则重复使用总能变成1：如果是偶数，减小一半。如果是奇数，乘3再加1。比如5-16-8-4-2-1
phcoona , 想起之前某人自称证明了黎曼猜想的时候，张益唐给的回复，你说你证明了黎曼猜想你就证明了，你说你没有证明那你就没有证明……这种事情还是要经过层层审核的，如果只是以初等数学的观点来看待这个问题的话，确实基本没多大可能的。如果你确实只是一名高中生，自娱自乐倒是无伤大雅，也可以把这些思想火花记录下来，等知识储备足够了再来慢慢研究。当然现在不是说不建议你涉足这方面，而是希望你能更加理智，至少得看看前人的工作吧。数学从来不是一个轰轰烈烈的科学，它总是有规律地一步步向前推进。如果你确实很感兴趣，以后可以考虑了解一些人在这方面的贡献以及现代对这方面工作的进展。到那时你再定夺到底要不要走上这条路。
zhong-waitin , 我在清华数学系的同学没有一个会证哥猜的，感觉水平比题主差太多，听说北大数学系水平高更高，建议题主联系北大。
wang-da-tian-91 , 加油啊！别听他们酸。很佩服你对数学的这种喜欢坚持。
gu-zhi-24 , 估计保送哈佛都没问题的。
tom123-24 , 潘承洞、潘承彪《哥德巴赫猜想》(第二版序)节选:  三十多年来，虽然对书中为研究猜想所利用的方法、理论和结论都有了一些改进和发展，但对猜想研究本身并无实质性进展。本书至今仍是国际上唯一的一本较为系统总结哥德巴赫猜想研究的著作。可以一提的是，在广义黎曼假设下，J.M.Deshouillers 等证明了:每个不小于9的奇数都是三个奇素数之和。但这是一个条件结果。所以，根据我们的原则，本书的主要内容不加改动再版是合适的。我要郑重指出的是，不像费马大定理那样，近五十年来没有见到提出有希望的研究哥德巴赫猜想的新途径。根据目前的情况，在相当一段时期内，还看不出会有条件去进一步真正研究猜想本身，更不必说解决猜想了。这可以说是目前数论界的共同看法。因此，我不希望本书的再版会引起"破解猜想热"，而这只是对于想了解这一猜想的数学工作者提供一本仍是有一定意义的参考书。                                                        潘承彪                                                2011年5月16日第一版序节选:哥德巴赫猜想是1742年提出来的，它是解析数论的中心问题之一。二百多年来，许多数学家为之付出了艰苦的劳动。然而，仅在最近六十年，对这个著名数学难题的研究才取得了一系列成果，并大大推动了整个解析数论的发展，但是，这一猜想迄今仍然没有被证明。看来，离到达这一问题的最终解决还有一段漫长的路。或许可以认为，目前对哥德巴赫猜想乃至整个解析数论的研究，正处于一个期待着新突破的相对停滞阶段。哥德巴赫猜想的研究差不多涉及了解析数论中所有的重要方法。因此，对过去的工作做一个阶段性的总结以利于今后的研究，是十分必要的。当然，这一重要的工作不是我们力所能及的。但基于上述原因，并抱着抛砖引玉的愿望，我们写了这一本书。希望能把有关哥德巴赫猜想的最重要的研究成果，特别是研究这一问题的最重要的方法做一尽可能系统的介绍，以供有志于研究哥德巴赫猜想和解析数论的数学工作者参考。                                                      潘承洞                                                   1979年3月如果真的能证明哥德巴赫猜想，建议投稿中国科学院邮箱，术业有专攻，如果一直吊着别人的胃口，浪费别人的时间和精力，不符合科学精神。让流言飞一会儿，时间会证明。
yanlongbin , 别说清北了，如果有人证明了，就算是上火星大学也妥妥的
chang-pu-hua-fa , 会一个字就能说完的事说了这么半天不明白讨论区都在干嘛
 , 真正做数学研究的人，特别是搞哥德巴赫猜想这种证明的人，都是抱着“虽死犹不悔”的心态去的，他们知道即便把一生的时间耗在这儿也不一定能搞出什么有价值的东西，即便有贡献，如果不巨大，数学史上都不会留名。那是一群为了真理孜孜以求的人，把数学当获得功名利禄的手段对他们而言是对信仰的污蔑，是不可饶恕的。而事实上，只有这样的人才有可能在数学研究上对人类文明作出贡献。
lishinian , 我想起来一个段子说是小学生吹嘘自己的爸爸是公安局校长原因很简单 在小学僧认知体系内  公安局貌似很大 校长是最大的 联合起来便是无敌得了
shuang-dao-ru-ye-qin-wu-yuan , 同学你好  倘若你真能证明出哥德巴赫猜想……不说清华北大，国内外任何一所知名大学聘请你为教授都不为过。但是，就我在数学系学习的一些经验来看，以中学知识证明哥德巴赫猜想是绝对不可能的事情。希望答主不要做无用功，把准备高考的时间全部用在这些对你现阶段毫无意义的事。哥德巴赫猜想的意思我想但凡初中的学生都可以理解该猜想说的是什么，但是以中学知识加上粗略的高等数学知识去证明哥德巴赫猜想…用陈景润先生的一句话，叫做骑着自行车上月球。现在最主要的任务是准备高考，如果对数学科研有兴趣，完全可以进入大学数学系后，进行系统、专业的学习。以后在一步步的走向科研这条路，而不是将大把大把的时间与精力全部浪费在这条歪路上，错过本该正确的路。可能有些数学专业的答主说的话你会不喜欢听，但是他们说的是很正确的，你必须先想办法进入数学系，然后在考虑这个问题。
xiao-xiao-xie-74 , 作为一个数学白痴，对那些真正的大神一直都保持举例，并作敬仰的态度。题主你居然告诉我，如果一个高中生能证明哥德巴赫猜的话，会不会保送清华北大？去清华北大都太可惜了好嘛。真的能够证明的话，可能世界上没有一个教授能教他真正的知识，顶多算是辅导。
rui-sang-56 , 可以，但没必要
fu-zi-hao-22-16 , 你，证明了哥德巴赫猜想，然后，你想去清北。emmmm你，破碎虚空，脚踢白矮星，手捏黑洞，嘴里嚼着二向箔，然后想请隔壁村那王二麻子的叔教你几招防身术。%%%%%%%%%%%%分割线%%%%%%%%%%震惊抖机灵的回答这么多赞 对不起清北，所以补充一下背景，王叔是这几个村有名的田把式，这样应该不算黑清北了。 对于打击题主这种指责，我想了想，觉得应该够不上。对一个马拉松运动员，如果他经过了严苛的训练，挥洒了许多的泪水与汗水，可是在比赛中途力竭，那么所有人都会肃然起敬。可是如果一个平时就体育课动几下子的所谓体育爱好者说自己已经能够毫无压力地碾压赛道，并且四处宣扬，他这种自信大概是不怕我这一点点调侃的。人啊，踏实一点罢！&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;再次分割&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;刚刚看到了自称为题主老师的回答。希望题主能够向老师学习。少年中二嘛，可以理解，可是无知并不是自大的借口。改答案是不可能改的，也希望题主如果能够醒悟，把这件事当成一个教训罢，人生很长，说不定你最后能够真正的来打我们这些答主的脸。反正我一定会高兴的把脸伸给你，就这样吧，加油。
xiao-mao-mi-ma , 首先，我认为题主很有勇气也很乐于思考。作为新一代的人，我们需要不停地去思考，所有真理的出现都是很不容易的，在起初也是受到打击的。这个猜想证明对了那是一件大喜事，当然，证明错了我们也不必去嘲笑人家，因为在他之前也有很多人错了，但至少他们在思考在努力解决这个谜题，牛顿说他是站在巨人的肩膀上，其实，等到解开这个谜题的人出现时，那个人也肯定是站在巨人的肩膀上。我们不要苛求，但一定要抱有希望。一个在我们的教育体系下能这样思考很不容易，题主想上清华北大也是人之常情，谁不想呢？我想只有得到的人才有资格说不要。
052dxing-dao-dan-qu-zhu , 真的证明出来的话，可以去给清华北大的师生开讲座了，阁下讲，他们听。我不知道阁下是不是真的证明了哥猜，但我知道阁下证明了可以用一个提问在短时间内获得1.7万（截至目前）知乎粉丝，并且粉丝里有一堆数学大佬。
cao-jing-wen-53 , 大概率。。。清华北大的学位。。。是不如普林斯顿，哈佛，斯坦佛的终生教授职位诱人的
sheng-lue-49 , 我觉得有些答主好像偏题了，题主只是问如果能，并不是被回答能或不能
luo-mo-34-80 , 支持你的＂如果＂，不认同你的＂那么＂。你的＂如果＂有实现的可能，当年的伽罗华就和你一般大，但解决了当时一流的数学问题，并开创了现代数学，英雄不问出处，包括年龄。至于能不能用初等的方法解决，回答是可以的，虽不简单，有时会比高等的更难，但必有希望，一切高等都是通过初等构造出来的，别听那些给你泼冷水的人。但你的＂那么＂，的确动机没摆正，探索数学真理是为了解决更深刻的数学真理，至于如何被认可，是顺带收获，包括一流数学杂志愿发表你的论文。你的东西被追随是别人的事，你可以不断探索出新知是你的最大成功，其他都是次要的。更不要本末倒置去追求真理。
xiao-qi-68-47 , 希望看到更多对题主有帮助的引导和建议，而不是在他寻求帮助时冷嘲热讽。或许他的证明还有漏洞，但我相信一定有不少人在他这个年龄的时候，即便有想要探索自己热爱的领域，最终权衡下来只是像更多人一样参加高考，放弃了很多大胆的可能。评论有些说得太过了，题主能够在感兴趣的领域追求高峰，我认为没必要这样打击，我相信他有一定的才华，才会有勇气立下这样的目标并去尝试。或许会有人认为他只是蹭热度。但舆论压力的影响对青少年来说可能比想象的还要大很多。我想没必要因为我们的妄自猜想，做出可能伤害到一个渴望上进的少年的行为。
zee-scofield , 如果把这句话变成命题的形式是否充分和是否必要一目了然
 , 修改一下，支持者受众又扩大了呢，不过文化水平还是很稳定啊。～～～～～～原答案～～～～～～～～惊奇地发现许多“好心人”们都说自己学文或者数学不好（声明:介于威腾，表示两者没有任何联系）。这是不是侧面说明了什么？
zj1980731 , 我有一个脑洞说不定题主是后世穿越过来的，那个时候哥德巴赫猜想已经被证明了。如果不是穿越者，对不起，少于50张8k纸的证明都不可能是正确的
wang-yuan-qing-31-43 , 我在复习概率论。。。就给我看到这个问题。。
li-jia-hao-85-55 , 推荐你看一下
shan-yao-dan-ju-xie , 那么毫不夸张地说世界上的数学家会跪舔你。
ban-bi-jiang-66 , 惊闻高中生证明哥德巴赫猜想，深感高兴。提到哥德巴赫猜想，我就想到了统一场论。明年上半年，由我建立的统一场论即将在知乎发表。如果清北接收了题主，可否也能将我捎上，数理两开花。请大家多多关注。
cheng-wan-li-99 , 那不是保送清华北大当学生，是清华北大求你当教授。你的明白?
 , 修改一下，支持者受众又扩大了呢，不过文化水平还是很稳定啊。～～～～～～原答案～～～～～～～～惊奇地发现许多“好心人”们都说自己学文或者数学不好（声明:介于威腾，表示两者没有任何联系）。这是不是侧面说明了什么？
 , 妈呀这题目居然这么多人关注。这个问题本身不值一提。不过有意思的是居然还有朋友认为题主乐于思考勇于尝试。讲道理，要是题主能直接发出自己的“证明”过程，并且虚心求教错误所在的话，还勉强可以鼓励一下。可现实是题主采取了低级的炒作方式，从ta的言行中看不到一丝对数学的敬畏，可以说其表现和“民科”只差一线，这不值得任何鼓励和肯定。另外，虽然八成这只是一场无聊的钓鱼，但是也不能排除题主真的是中二高中生的可能性嘛，我就把你往好了想想吧。如果题主真的是高中生，我建议不要等到元旦了，现在就把“证明”发出来吧，会有一大堆人乐意给你指出错误的，弄明白自己错在哪之后就好好准备高考，别想那些有的没的。乐于思考是好的，但是以后对数学多点敬畏，再对什么猜想有了想法就虚心的找人问问，你们老师就行，拉不下脸的话问网友也成。以后不要再做愚蠢的事了。还有，对于答案里的鼓励别当真，对嘲讽也别太往心里去，虽然有的嘲讽确实不太合适，不过自己犯蠢被嘲讽两句也正常。况且又没人知道你是谁，换个知乎账号咱又是一条好汉对吧？补充：如果是炒作钓鱼，赌五毛钱结局会是题主认错，表示以后虚心学习，然后收获一波鼓励和关注...但愿事实不是如此吧。不过无论哪种情况，作为吃瓜群众最好的选择是别给题主太多鼓励也别嘲讽的太过就是了＝＝
 , 不会，因为他数学没考满分。
wang-tian-le-84-8 , 不是很理解你们为什么要抨击他？无论结果如何，作为一个高中生有这样的求知欲和行动力难道不足以得到人们的鼓励和夸奖吗？看到之前有个答案说证不好会被记黑名单我也不知道怎么想的。我们应该鼓励年轻人不怕犯错去勇敢尝试。大家怎么反倒变的这么刻薄。答主不管你正确与否（当然我也觉得正确的概率不大）希望你能坚持自我，保持求知欲和亢奋的头脑。
kerleasill , 我不希望你证出来，这是一只会下金蛋的鸡，我想要金蛋，当然你要是已经把鸡杀了做成鸡肉卷当我没说
gen-wo-hui-jiang-nan-ba-33 , 我真的觉得这位同学的这句话有点看不起三百年来全世界数学家的智商
 , 当然。前提是你能真的证明出来。其实，平时没事时证明玩玩也没什么，不要担心被人说“民科”。在试图证明的过程里，你可以学到很多东西。肯定也会多方查阅这方面的资料，学到很多知识。为了了解那些知识和证明途径，你会主动去学些东西，认识到不足，也许最后你知难而退，但是你会因此学到很多东西。民科的讨厌其实不在于其业余研究本身，而是因为其中的很多人妄自尊大，对于知识过于傲慢，思维能力不足又不愿意承认，不去努力改善，对待知识不够谦逊，甚至有时明知道自己错了还要硬凹，把面子摆在知识的前面，等等。很多人并非真正讨厌民科，只是讨厌那种非理性的精神偏执，讨厌的是以天才自居而又拿不出真本事。否则的话，人人都有研究科学及数学的自由，不管你处于科学共同体的官方机构，还是业余爱好者。而旁观者，也最好不要动辄用“民科”这种贴标签、扣帽子的行为，一上来就对人做定性的否定，就好像知乎有些真正的科学回答，反被某些人一上来就骂“民科”，结果最后自己被打脸了。如果对方错了，可以实事求是指出错在哪里，就事论事，而不要一上来就扣民科的帽子，这行为很不好，并非真正的科学态度。总之，你要有兴趣证明，可以玩玩去，利用这个学点东西也是很好的。有些东西你要真的实践了，才知道真正问题所在。但一定要保持对知识的谦逊、开放态度，热衷于学习相关知识，准备工作要做好，多看点相关资料，不要急于图成。也许你原本要证明哥德巴赫猜想，结果在这过程里找到另外的更值得奋斗、也更为“现实”的目标及相关发现，也未可知。很多东西的发现是要由兴趣来驱动，不管你最初的兴趣是什么，至少要有一个兴趣，兴趣是一个切入点和引导，把你引向某个领域及相关联领域，使你真正沉浸进入。就好比我从小对女性身体感兴趣，现在我成了一个兽医（咳咳）。。。是怎么七转八转最终进入这领域的，一言难尽。但绝对是最初那一神秘的、看似不相关的兴趣作为最初驱动。。
 , 我不懂这些，单纯回答这个问题答案是可以。如果题主真的是一个高中生，那些想说讽刺的话的人，最好还是不要说出口。这件事情大多数人都认为是不可能事件，但是如果有一个人说他做出来了，虽说很大可能是错误的结果，又何必嘲讽呢？把错误的地方指出来还可以进行交流，若他是真的热爱数学相信他也不会放弃的吧。我这种完全不懂且事外的人也只能鼓励了吧，他身边的人可以给他更多的帮助。如果这就是哗众取宠的问题，那还管他干什么。
dgk-81 , 如果题主真的这么年轻就做到了，那么题主应该考虑的问题是“我能否被称作人类自文明建设以来最了不起的数学天才？在我的余生（18岁左右的余生有点长讲道理…）我能为数学界带来多大的革新？”
bu-meng-de-xiao-peng-you-37 , 小朋友...你发文章啊你学过additive 和 multiplicative number theory吗？
 , qq空间观光团
zhao-kai-xuan-89 , 证明猜想没意思，提出猜想让别人绞尽脑汁去证明吧
sun-yu-79-24 , 什么时候这个时代变得一点儿也不浪漫了，容不下一丝轻狂，容不下任何一个或许看起来不着边际的梦想。我理想中，对于这样一件事人们应抱有期待，不一定是期待伟大到要死的数学里程碑，而是为一个少年热忱的执着而感到欢喜。我喜欢一张塔罗牌的含义，那张叫做愚人，愚人是很奇特的一张牌，他满怀天真，在尘世之仍有一颗相信梦想纯洁的童心，他执意闭上眼睛去冒险，却也看不到前方是悬崖还是花海。在这个时代，这张牌意大多数时候并不是好的含义，因为我们会把内心表达地过于小心翼翼，倘若你告诉了人们你爱上了一个女孩子，人们会立即围成一个圈或因为此事，或为了展现自己而谈论，有人会取笑你怎么还在喊爱情这么老土的口号，有人语重心长劝戒你要知道那个女孩儿没人配得上，还有的人为你出谋划策可听起来却不怀好意。所以你不敢说起自己的想法，而把真实想法讲出来的人，就作为愚人不断被人们戏弄。实际大多数的人生来都不是平凡的人，他们儿时大多都有英雄梦想，他们感到内心的力量，可上天只能挑选一个不平凡的人来做英雄，而没有成为英雄的人又是否应为有过梦想而感到耻辱。我不晓得哥德巴赫猜想是什么，我投入不到数学的世界，可我相信那些为数学而执着一生的人，这个东西总归是会有被证明出的一天，或早或晚，都没有关系的。这个过程中它承载了数不清的异想天开，承载了数不清的错了又改，这才是科学本质的魅力所在。我只希望我们收起恶意，让他错了就错了，对了就对了吧。
xue-ding-e-de-miao-98 , 你在问这个这个问题之前，最好先看看自己会不会这个题已知函数f(x)=ex(ex﹣a)﹣a²x．（1）讨f(x)论的单调性；（2）若f(x)≥0，求a的取值范围．建议你考虑考虑自己能不能上个本科，不要整天想哥德巴赫猜想这些东西。你这个问题和如果我征服了世界的话，可不可以管理一个县一样
jiang-long-wang , “大师，什么是快乐的秘诀？”“不要和愚者争论”“我完全不认为这能使人快乐”“是的，你说得对！”
 , 不会。因为你首先会被科学院录取。
yang-zong-yuan-39-20 , 知乎上问题越来越离谱了
zj1980731 , 我有一个脑洞说不定题主是后世穿越过来的，那个时候哥德巴赫猜想已经被证明了。如果不是穿越者，对不起，少于50张8k纸的证明都不可能是正确的
zhang-hua-yu-88-96 , 话说，这问题能否改成:如果证明了哥猜，可不可以被任命为牛津卢卡斯数学教授？？这样至少对哥德巴赫同志尊重一点
afiaas , 讲道理，这么草的提问都能这么多人回答，你们真的是闲得慌……说到底，什么我不知道在哪里发表，没有平台，之类的鬼话，我连一个标点符号都不信，尼玛21世纪的学生还有不会使用搜索引擎的？你百度吗？你Google吗？你Bing吗？我觉得你成功证明的可能性是知乎上都是些什么东西，大家都再清楚不过了，民科跳的永远是最欢的……不是真正的学术！夏虫不可语冰！
zhao-qing-xi-74 , 各位答主请慎言题主很有可能已经被系统附体，而歌猜只是题主的一个小任务而已，我估计题主以后还会狂揽诺贝尔奖十三次，菲儿兹奖三次，而且会建立数学大一统纲领。并且会陆续攻克核聚变商用，去火星亲自寻找生命等等等等真的，题主未来的成就无法预估！
da-hai-de-nu-xu , 我记得以前也看过一个问题是大学得了诺贝尔物理学奖能保送研究生吗？现在的孩子真的是，复习压力太大了
skylr-96 , 年少时看着山尖的月亮，以为爬上了山顶，就能把她摘下来。年长后站在山顶，月亮依然仿佛触指可及，却已明白，此生都只能遥望。
 , 修仙界，分成筑基、开光、融合、心动、金丹、元婴、出窍、分神、合体、洞虚、大乘、渡劫等。假设，有人已经渡劫成功了，他会提问说“我渡劫成功了，能不能保送去XX学院去学筑基期的基础课？”
 , 你好，我是哥德巴赫。其实我并没有死，当年我收到了秦始皇发来的短信，给他打了2000块钱，后来得到了长生不老药，一直活到今天。这样吧，你给我打1000块钱，我把猜想的冠名权让给你，顺便把我当年吃剩下的那份长生不老药当赠品送你。
yang-yong-xin-94 , 不知道,但可以肯定的是,会上知乎。
gong-mi-52 , 目光浅显到认为证明哥德巴赫猜想后考虑清北保送的孩子，你太小看数学了。真正可以完美证明完这个的话，拿下菲尔兹奖不是问题。前人在这上边做了多少工作，用到了多少理论，你如果真的有研究有了解的话，目光早就该放在国外，明年就该出现在普林斯顿作报告了。
sun-yu-79-24 , 什么时候这个时代变得一点儿也不浪漫了，容不下一丝轻狂，容不下任何一个或许看起来不着边际的梦想。我理想中，对于这样一件事人们应抱有期待，不一定是期待伟大到要死的数学里程碑，而是为一个少年热忱的执着而感到欢喜。我喜欢一张塔罗牌的含义，那张叫做愚人，愚人是很奇特的一张牌，他满怀天真，在尘世之仍有一颗相信梦想纯洁的童心，他执意闭上眼睛去冒险，却也看不到前方是悬崖还是花海。在这个时代，这张牌意大多数时候并不是好的含义，因为我们会把内心表达地过于小心翼翼，倘若你告诉了人们你爱上了一个女孩子，人们会立即围成一个圈或因为此事，或为了展现自己而谈论，有人会取笑你怎么还在喊爱情这么老土的口号，有人语重心长劝戒你要知道那个女孩儿没人配得上，还有的人为你出谋划策可听起来却不怀好意。所以你不敢说起自己的想法，而把真实想法讲出来的人，就作为愚人不断被人们戏弄。实际大多数的人生来都不是平凡的人，他们儿时大多都有英雄梦想，他们感到内心的力量，可上天只能挑选一个不平凡的人来做英雄，而没有成为英雄的人又是否应为有过梦想而感到耻辱。我不晓得哥德巴赫猜想是什么，我投入不到数学的世界，可我相信那些为数学而执着一生的人，这个东西总归是会有被证明出的一天，或早或晚，都没有关系的。这个过程中它承载了数不清的异想天开，承载了数不清的错了又改，这才是科学本质的魅力所在。我只希望我们收起恶意，让他错了就错了，对了就对了吧。
shi-yu-1-27 , 首先回答你的问题。如果你成功证明哥德巴赫猜想且得到学界的认同，不论你的身份如何都能进入最高学府。其次，像这种验证数学界皇冠猜想的论文不适合发表在知乎这种泛娱乐化app上，应该发表在科研期刊上。大多数普通用户完全看不懂高深的数论证明，俺作为一个农民工，也没读过什么书。闹不清你想干啥？你是把金枝玉露，龙肝凤髓给俺们尝吗，我还是觉得大饼就大葱实在。
zhang-zhen-yu-59-38 , 你们答应我一月一日之后，取关这位，好吗？
peng-xiao-peng-40 , 你这个比猫鼠游戏里面最后小李子花一个星期过司法考试还吓人的多
tan-xiao-tian-99-40 , 我只想说，不要撒谎哦，更不要为了出名而不择手段，如果你是认真的，祝你成功，加油，虽然我觉得这件事的可能性和明天太阳从西边起来差不多。
zhao-chen-88-61 , 一个是百里挑一，一个是亿里挑一
 , 你好，我是哥德巴赫。其实我并没有死，当年我收到了秦始皇发来的短信，给他打了2000块钱，后来得到了长生不老药，一直活到今天。这样吧，你给我打1000块钱，我把猜想的冠名权让给你，顺便把我当年吃剩下的那份长生不老药当赠品送你。
xiao-mao-mi-ma , 首先，我认为题主很有勇气也很乐于思考。作为新一代的人，我们需要不停地去思考，所有真理的出现都是很不容易的，在起初也是受到打击的。这个猜想证明对了那是一件大喜事，当然，证明错了我们也不必去嘲笑人家，因为在他之前也有很多人错了，但至少他们在思考在努力解决这个谜题，牛顿说他是站在巨人的肩膀上，其实，等到解开这个谜题的人出现时，那个人也肯定是站在巨人的肩膀上。我们不要苛求，但一定要抱有希望。一个在我们的教育体系下能这样思考很不容易，题主想上清华北大也是人之常情，谁不想呢？我想只有得到的人才有资格说不要。
you-xue-yuki , 到那么多人对他冷嘲热讽，我想，万一这孩子忍受不了世俗中的这些恶语，逐渐自闭，那他本来可以光明的未来，是不是也因此而毁灭了呢。我亲眼看过老师用一句“这孩子很丑”让一个孩子崩溃退学，原本很活泼的孩子，再也不敢大声说话，不敢在大家玩的时候活跃参与，甚至上街都不敢抬起头走路。语言有的时候真的是利器，伤人无形。良言一句三冬暖，恶语伤人六月寒。有的人还说那么倨傲的孩子就该挫一挫他的锐气，这是为他着想，将来走上社会才能怎样怎样之类云云。但是这是他引以为傲的东西，当我们都把他的骄傲踩在脚底下冷嘲热讽的时候，我们和那些站在制高点上去批判的人有什么区别。每个年龄段都该有每个年龄段该承受的，我老师和我们说过一段话，我觉得很在理——青春年华的你们就该张扬活泼一些，这是你们这个年龄段特有的东西。别人说你们有个性，在这个年纪就是一种褒奖。我不主张什么要圆滑通达，你们这个年纪就是该有棱有角的。该圆滑通达的是像我这种年纪该有的，因为有责任要扛，有家庭需要供养，社会需要什么样的人，那就等你们走上社会以后再说，你们现在还是学生，那就不该承受学生以外需要承受的东西。所以你们放肆一些，说几句大话，只要不过分，就算听起来天方夜谭也值得我去表扬。我的学生时代也很倨傲，仗着自己在语文上知道的略多，总是写二三文章批判这或那。我不过是有一种表现欲来证明自己和别人不同。幸好我的老师们并未嘲笑我，说我不知天高地厚，给我写什么北大录取我的段子来讥讽我。而是鼓励我继续创作，夸奖我好的地方，另外常常说一些名人故事或借用一些小说桥段来提醒我，恃才傲物不可取。我现在回过头想，那些老师们个个都博学，我的那些文章那些话实在太不知好歹，但是老师却愿意包容我给我鼓励和支持。想起来，若那时有知乎，我一时倨傲来知乎说，如果我已证明胡适《红楼梦考证》中作者是曹雪芹是错误的，能不能上北大，再来接受这来自四面八方的嘲笑和讽刺，大约我早已不是现在的样子。而当年，我也找了诸多资料立证胡适的作者立论是错误的，并在老师办公室大发狂言。幸好各位老师们并没有嘲笑我，反而给我指出我论证中的错误并提供给我更多的资料，让我去探索更多的未知。现在想想，他们真是很包容很温柔的人啊。如果对方是个熊孩子，那我们该批判的首先也该是教育他的人，而后才是他。但是这个孩子只不过心中有不平之气，想要证明自己与众不同。这孩子能否证明哥猜暂且不说，但是数学他有兴趣并引以为傲，或许我们该去给他正确的引导，而不是肆意取笑，冷嘲热讽。现在网络上，都太苛刻了。我只一句话：愿那孩子不被语言暴力伤害，能够以一种个性的姿态，去度过他本该精彩的学生时代。
chen-zhe-58-37 , 问题的后半部分咱们不要了成不？“如果高中生能证明哥德巴赫猜想……”“不，你不能。”学习数学需要谦逊和沉默，而不是用狂妄自大去羞辱数学本身。如果题主不改变这样的心态，别说现在不能，就算最后油尽灯枯被装进小盒子里，也不行。PS:  吃完瓜记得取关，别惯坏了这高中生。
 , 围观，不懂数学。加油。
mei-yitian-huan-le , 会的。真能证明出来，知乎将以你为荣。（2019年1月1号前，伪前排合照。）ฅ(*ơ ₃ơ)ฅ\"
ming-yue-chui-xiao , 我觉得知乎的编辑不厚道，为了凑热度居然把人家挂起来示众。
fu-ding-hei-liao-wo-de-wu-di , 你可以找个无月之夜的子时，找几百个教授一起围观，然后众目睽睽之下一起问问笔仙。我相信笔仙给的答案可信度更高一点
chang-dao-zheng-wu-75 , 
 , 你好，我是哥德巴赫。其实我并没有死，当年我收到了秦始皇发来的短信，给他打了2000块钱，后来得到了长生不老药，一直活到今天。这样吧，你给我打1000块钱，我把猜想的冠名权让给你，顺便把我当年吃剩下的那份长生不老药当赠品送你。
