sen-lin-mi-lu-62-47 , 如果成功，我给大家表演，两女一杯
 , 到时候不是清华要不要你的问题，是你看不看得上清华的问题......在此祝题主文体两开花（滑稽
 , 小伙子，记住这句话吧，年轻人犯了错误上帝都会原谅。年轻真好。要珍惜。其实一个人，只要能创造出足够养活自己以及父母妻儿的价值，就完全有资格骄傲地活在这个世上了。加油。要开心。
yu-rui-yuan-21 , 如果证明了，任意偶数都能表示成两个素数之差，其实也很厉害了。只不过素数这个东西，如果学到后面会知道，其存在几乎毫无规律可言，所以这件事其实也很难证。我觉得难度上，与哥德巴赫猜想相仿。
liu-dao-cheng , 会被牛津剑桥入取，另外经历了二战后近80年的和平发展期，还想在科学界捡漏简直就是天方夜谭，也就文科生和小学没毕业的会这么幻想吧。另外哥德巴赫猜想可是数学高峰，这种高峰就像珠穆朗玛峰一样矗立了快一个世纪了，专业登山队都登不上去，你说一个不到十岁乳臭未干的孩子能爬上去？估计只是去送命而已
zhang-zhi-hu-36-19 , 不可能的，因为哥德巴赫猜想太简单了，简单到我在知乎都能随手写出证明过程：由题设显然知哥德巴赫猜想成立，具体证明过程留给各位读者作为作业。
tomato-25-69 , 勇气的存在意义，在于你不得不做时给你提供动力，可不是为了给你想做什么就做什么提供动力。这是民科经常忽略的事实。
xue-fei-31-60 , 高中生的话，高考满分和证明哥德巴赫猜想，两件事硬要我选一件你可能做得到的，我选高考满分
gen-wo-hui-jiang-nan-ba-33 , 我真的觉得这位同学的这句话有点看不起三百年来全世界数学家的智商
feng-xun-13-61 , 如果题主最后没有证明出来…希望大家不要太过于苛责他…
you-xue-yuki , 到那么多人对他冷嘲热讽，我想，万一这孩子忍受不了世俗中的这些恶语，逐渐自闭，那他本来可以光明的未来，是不是也因此而毁灭了呢。我亲眼看过老师用一句“这孩子很丑”让一个孩子崩溃退学，原本很活泼的孩子，再也不敢大声说话，不敢在大家玩的时候活跃参与，甚至上街都不敢抬起头走路。语言有的时候真的是利器，伤人无形。良言一句三冬暖，恶语伤人六月寒。有的人还说那么倨傲的孩子就该挫一挫他的锐气，这是为他着想，将来走上社会才能怎样怎样之类云云。但是这是他引以为傲的东西，当我们都把他的骄傲踩在脚底下冷嘲热讽的时候，我们和那些站在制高点上去批判的人有什么区别。每个年龄段都该有每个年龄段该承受的，我老师和我们说过一段话，我觉得很在理——青春年华的你们就该张扬活泼一些，这是你们这个年龄段特有的东西。别人说你们有个性，在这个年纪就是一种褒奖。我不主张什么要圆滑通达，你们这个年纪就是该有棱有角的。该圆滑通达的是像我这种年纪该有的，因为有责任要扛，有家庭需要供养，社会需要什么样的人，那就等你们走上社会以后再说，你们现在还是学生，那就不该承受学生以外需要承受的东西。所以你们放肆一些，说几句大话，只要不过分，就算听起来天方夜谭也值得我去表扬。我的学生时代也很倨傲，仗着自己在语文上知道的略多，总是写二三文章批判这或那。我不过是有一种表现欲来证明自己和别人不同。幸好我的老师们并未嘲笑我，说我不知天高地厚，给我写什么北大录取我的段子来讥讽我。而是鼓励我继续创作，夸奖我好的地方，另外常常说一些名人故事或借用一些小说桥段来提醒我，恃才傲物不可取。我现在回过头想，那些老师们个个都博学，我的那些文章那些话实在太不知好歹，但是老师却愿意包容我给我鼓励和支持。想起来，若那时有知乎，我一时倨傲来知乎说，如果我已证明胡适《红楼梦考证》中作者是曹雪芹是错误的，能不能上北大，再来接受这来自四面八方的嘲笑和讽刺，大约我早已不是现在的样子。而当年，我也找了诸多资料立证胡适的作者立论是错误的，并在老师办公室大发狂言。幸好各位老师们并没有嘲笑我，反而给我指出我论证中的错误并提供给我更多的资料，让我去探索更多的未知。现在想想，他们真是很包容很温柔的人啊。如果对方是个熊孩子，那我们该批判的首先也该是教育他的人，而后才是他。但是这个孩子只不过心中有不平之气，想要证明自己与众不同。这孩子能否证明哥猜暂且不说，但是数学他有兴趣并引以为傲，或许我们该去给他正确的引导，而不是肆意取笑，冷嘲热讽。现在网络上，都太苛刻了。我只一句话：愿那孩子不被语言暴力伤害，能够以一种个性的姿态，去度过他本该精彩的学生时代。
cong-ming-xiao-ben-gou , 1月1日，我要在知乎直播倒背圆周率！你没有看错，我要倒着背。我相信这一定是继哥德巴赫猜想被证明后2019年第二大的数学事件！来看我直播吧。
huan-xiang-chao-ying-yu-zheng-li-ben , 不能，因为哥德巴赫猜想毫无意义。
tan-xiao-tian-99-40 , 我只想说，不要撒谎哦，更不要为了出名而不择手段，如果你是认真的，祝你成功，加油，虽然我觉得这件事的可能性和明天太阳从西边起来差不多。
lin-peng-18-80 , 这是我今天笑的最开心的一次
 , 我先关注 江上代有才人出 … 不敢妄言  本人尝试编程获取一个大素数 也就几个大素数  在前人的经验上 在语言上精益求精 也只是尽量缩短时间 … 大四也花了快半多年的时间 太难了 ！
dalaoshimoco , 如果我能挣1万亿美元，可以去上海买套3室1厅的房子么？如果希特勒用冥想就能杀任何人，他能打赢二战么？如果我能一个人就建造出一艘泰坦级战舰，那能出造一辆自行车么？
shi-yu-1-27 , 首先回答你的问题。如果你成功证明哥德巴赫猜想且得到学界的认同，不论你的身份如何都能进入最高学府。其次，像这种验证数学界皇冠猜想的论文不适合发表在知乎这种泛娱乐化app上，应该发表在科研期刊上。大多数普通用户完全看不懂高深的数论证明，俺作为一个农民工，也没读过什么书。闹不清你想干啥？你是把金枝玉露，龙肝凤髓给俺们尝吗，我还是觉得大饼就大葱实在。
huang-sheng-29-6 , 有点难，但是可能会降分数线录取
tao-fei-tie , 真能证出来，别说北大清华了，诺贝尔数学奖都给你 
san-qian-67-83 , 学积分的第三天，做一道习题时，我震惊的发现两种绝对正确的算法，得出的值竟然不一样。在最初的狂喜之后，我压抑着情感，虽然深知这种可能性微乎其微，但忍不住想，没准真的撬动了数学的地基了呢？整个晚上，我验算了十几遍。把每个步骤都仔细推导了一遍。最后无奈的承认，当代数学有了新的乌云。无数前人都视而不见，直到一位大二的学生轻轻的叹气。我当时最担心的，就是老师从最初的不屑，变到震惊，最后变为恐惧。然后争夺署名权，死皮赖脸要加一个名字。或者直接抢为己有，用卑鄙的手段来对付我。但很快我有了新的烦恼。年少成名的之后，我也担忧，我这种幸运儿拿下数学诺贝尔奖怎么面对无数的质疑？最后，我还是决定了，拿下诺贝尔数学奖后。我打死不再学数学，不给别人攻击我的机会。我就死命开讲座，就不要脸捞钱。但这之前，我忍不住把这个结论给朋友看一下。相信这样他也能登上教科书。然后朋友看了一眼，说到：“喔，你这两个数值，都没加常数C。”直到今日，数学的基地依旧坚固。哈哈哈哈哈，我写这篇回答只想说，这种改变数学史的幻想，任何一个学数学的人都肯定梦到过。何必用嘲讽的态度对待他呢？等我们学习高数下一章内容时，自然就被虐醒了。谁还没个中二时期。感受数学大魔王的恐怖之前，活泼一点蛮好的。一一一一一一一一一更新一一一一一一一哈哈哈，感谢提醒。我刚学高数的时候，是真的不知道数学竟然没有诺贝尔奖。直到演员靳东说，自己研读诺贝尔数学奖的书籍，被网友群嘲。我才知道数学最高是菲尔兹奖。评论区已经黑了一把自己与靳东。其实光从问题价值，只留下最高赞回答中，关于陈景润先生的言论就够了。但提问者自称是一位高中生，与前几年说发现引力波的民科不同。知友们是愿意相信，这是年轻人一时的自我冲动，与要证明自己的青春期欲望。所以，众多答案里面评论与劝导，多过刻薄的嘲讽。而很多答主表达善意，并不是支持他民科般的举动。而是高中生一时口嗨，有几个老师严厉的批评，大家感觉应该。但几百个严厉老师轮流批评，量造成的批评力度，难免让人感觉有些过重了。所以，很多答主不是支持他举动，而是在缓解批评力度。大家的目的，都是让这位高中生不要变民科，将对数学的热爱放在踏踏实实的地方。但现在，这个问题的流量高的有点吓人。其内核早就不是一个数学问题了。就像当初中国有嘻哈，我才不是去听嘻哈，我只是去看撕逼的。而事件早从一开始批评规劝，变成一个大型审丑事件。反正，我看到赞数火箭增长时，从一开始随手答的关心调侃，变成了关注与期待。想看，高中生的证明被批的体无完肤。或者他反转事件。当然，他要是证出来，我们被钉在历史屈辱柱上，我也甘心。我最不想看到的，就是事情悄无声息的结束了，缺少一个高潮的结尾。而这里已经和关心一位高中生不要走上歧路，相差甚远。写到这里，我已经很沮丧了。原来我也不过是，被低级刺激吸引的人。其实高中生有没有证明出猜想，我一点也不在意。我只是在意，我上知乎有没有得到足够的娱乐。哎
czd1230 , 精神可嘉
ji-wu-li-3 , 一群XX博士XX博士后，跟一个中学生这么较真，上来不管三七二十一，就先嘲讽一顿再说。你们嘲讽得那么痛快，为的是什么？就为了证明你比一个中学生的岁数更大，见识更多？一个三岁小孩，声音大，吵到你了，你是不是也要跟他对吵，还讥讽：就你这嗓门，一辈子不用开口了？一个三岁小孩，好动，碰到你了，你是不是也要跟他对打，还讥讽：就你这力气，一辈子不用动手了？中学本来就是人人都在中二，满脑子异想天开的时候，谁不是这么过来的？即便自古文人相轻，相互看不起，也用不着跟一个还没起步的中学生较真吧？—————————————————————————————————————讲个故事吧：我大学的时候跟一个家在农村的老乡一起去餐馆吃饭，点菜的时候，那人想点一份干锅茶树菇，我当时不乐意，因为这玩意吃的太多了，于是就不停地说，别点这玩意了，吃了不知道多少次了。然后对方默默地说了句，我没吃过嘛，这时我才注意到，对方脸色已经很不好了。怎么样，是不是觉得我当时很贱？我现在也是这么觉得的。同理，很多你觉得显而易见理所当然的常识性的东西，不是所有人都知道。所以，不要你比别人多懂一些东西，就一副高高在上的姿态，把别人评价一遍，数落一遍。—————————————————————————————————————见到一种论调：我讥讽你，嘲笑你，都是在为你好。…………这是在玩sm啊？我鞭笞你，辱骂你，践踏你，不是因为我有什么奇怪的嗜好，而是为了让你享受。所以，就是一些人在过过嘴瘾而已，不要说得那么高尚。—————————————————————————————————————又见一类论调：你是高中生了，应该为自己的行为负责。你在网上发言，要为自己言论负责。你功利心强，侮辱了数学，活该被骂。…………嗯，总而言之，我就是要骂你。（到这一步，就是正儿八经的网络暴力了）—————————————————————————————————————刚刚评论区又一个：其他人没嘲笑他啊，都是在热情地提供帮助。…………呵呵，这些所谓正经回答，热心帮助的，有几个真心觉得一个高中生能解决哥德巴赫猜想？明知道不可能，还假惺惺地提供帮助，不就是在起哄，凑热闹，消遣人？这不叫嘲讽，什么叫？就好比，一个恶霸说，你来打我呀，是真让你去打他吗？就是吃定了你不敢打，才这么说来耍你玩的。这些人还揣着明白装糊涂，假惺惺地说我们没恶意啊。一旦你将他戳破，他马上又说，这人自作自受，活该被骂。（同上，又成了赤裸裸的网络暴力了）—————————————————————————————————————还有人，说我这么圣母，怎么不去帮助他。我在路边看到乞丐，一般不会给钱，更不会给他工作帮他安顿下来，但我绝不会嫌他脏就去踹他两脚。
wang-zhao-yu-10-63 , 讲个真事高中同学跟全班都讲过研发出永动机 就在自己家貌似成天搞研究？？？后来高考到厦门大学嘉庚学院还没结束最后跟其他人吹上了厦大
lin-lu-mu-nan , 关注这个问题蛮久了，答一波。刚开始我很开心很激动，很支持。看到有很多大佬严厉的说，甚至嘲讽，泼冷水，我都觉得很不应该，不应该把人家热爱数学的心给弄得冷冰冰吧。结果关注你几天，你的动态看了下，似乎证明只有五页纸，涉及的知识不超过高中？大多高一高二的知识？我就有点难受了，你这是炒作，博取关注度吗？？但坐等你明天的论文，无论怎样，祝你一直保持热爱数学。
chen-yi-an-60-7 , 证明了例外偶数是零密度？？另外我觉得证个abc猜想要容易一点
triplef1ower , 我一不小心在几秒之内就写出了费马大定理的证明可是我拿给我高数老师看的时候他居然二话不说就动手打我他一定是嫉妒我的数学天分附图（真的几秒之内就写出来了
ssssssssss-37 , 你这一天天的怎么静想些没用的，你要是能整出哥德巴赫猜想，还去清华干嘛，学数学啊，谁能交你啊？皇帝都是挑金扁担的？
an-sui-bo , 如果我破得了独孤九剑，华山岳掌门是否愿意收我为徒？问这问题就说明一切了系列+1
zi-ming-47-37 , 如果有个人真的能证明，不论你是小学生、初中生、高中生、校区老大爷，北大清华都会“保送”你成为教授。反正我高中的时候，有段时间挺膨胀，觉得自己理科还可以，有一次在新华书店，看陈景润和1+2的相关书籍，看了5分钟，完全没有任何头绪，那时候我知道，我这辈子不是学数学的料。我只是一个普通人。高考数学最后一道题的解题思路，在这种世界难题和解题大神面前连“易证”的级别可能都达不到，都是直接写答案的。想来我到初中，还偶尔做做这样的梦。不经意证明了哥德巴赫猜想，回家妈妈给我做了糖醋排骨，还给我买了一双新的篮球鞋做为奖励。美滋滋。(●—●)
mao-hua-91-58 , 这个大概也是我在高中所面临的问题吧，不自量，根本不清楚自己有多大本事，看了点名人传记，读了点科普作品，就觉得这天容不下自己了，总想干一番大事出来，最小也要震惊世人吧，殊不知连独立生活都不一定做的到。你觉得自己了解一大堆浅显的知识就可以触类旁通，解决一大堆世界性难题了，这是不可能的，你先拿本高数，随便翻开一页都会了，再去回到这个问题上。
la-la-la-4-25-46 , 这里有个简单的习题，你能解决的话也能上清北，哥猜都有了，有时间试试这个吧。任何一个正整数经过以下规则重复使用总能变成1：如果是偶数，减小一半。如果是奇数，乘3再加1。比如5-16-8-4-2-1
wang-ying-jie-37-89 , 你已经晚了看到没，人家广西妇幼保健院的已经先你一步证出来了
pinelliaternata , 不会被保送，会被聘请。
xiao-han-90-37 , 初等数论应该证明不了，一起努力学习考大学吧，考清北比证明哥德巴赫猜想容易多了，也能在知乎上吹逼。这是中肯的说法。其实我想说，你是傻逼。推荐你来上海精神卫生中心——宛平南路600号——来自同龄人对同龄人的劝告。
zhong-xiang-97 , 放心在元旦之前绝对不会举报你，最近刚好无聊得很。
godz , 我觉得，瞎意淫不好。。
gu-ming-si-lu-64 , 陪你跨年，抱最坏的打算，如果你的证明被推翻了，我希望你尽快退号，包括你创号渠道的手机号或者QQ微信什么的立马换了，你的高调做法很危险，死亡如风，常伴汝身，没成功就干净急流勇退，以后再东山再起也行。你能说出这样的话，一是你为了沽名，二是你真的喜欢数学，所以我希望，即使这次失败了以后还有信念去专研，那么，我等你。
tian-xia-di-er-15 , 如果他证明了哥德巴赫猜想，那还去北大数学系这座小庙干嘛？他可以直接去当教授了
mian-ju-1-44 , 失望，我是真的非常失望我倒宁可你是骗关注的辣鸡营销号 或者是社会调查之流结果就给我看这个?  好歹要给我一个至少我找不出逻辑漏洞证明吧 你这证明也就只配给我初中水平提鞋(我不才高考也就147)我们肯定主观能动性，不是说是个什么玩意都能拿来娱乐大众了吧，非蠢即坏 我看可能是又蠢又坏 话说回来 我是真的希望题主能上一个清华北大  进去你就能知道什么叫人外有人(啊呸 应该是自取其辱)题主加油(手动狗头)
dong-ri-zhi-yang-48 , 他能不能证出来我一点也不好奇，我好奇的是竟然还有这么多理他的人。。
lan-lan-de-lan-lan-13-78 , 刚看完证明的备份不是我说，就这水平，还有疑似老师的人说看不出错，找不出问题所在？不知道你是哪所学校的老师，我请你辞职回家不要再祸害下一代了。至于题主，做人妖认真，挨打要立正。
owtotwo , 其实我觉得 “一个高中生证出” 比 “一个高中学历的证出” 是相对来说更吸引人一点
lazxh , 这位同学你好，作为一名高中数学老师，我深感惭愧。如果我的学生告诉我他可以证明哥德巴赫猜想，我绝不会同意他保送什么清北，我会亲自与哈佛等著名学府联系，终身教授不是问题。（内心独白：滚犊子，先把圆锥曲线和数列给我弄明白吧）
li-ao-55-56 , 最后2分钟!见证奇迹!
li-xu-58-54 , 还没看到他的‘论文’的，可以在这里看。原答案应该是被删掉了，不过我有备份。
synn , 每年参加高考的人数是千万人左右，考入清北的人数大约是两三百人，也就是说比例大约是几万分之一，虽然很困难，但并不是完全没有可能。可你想证明的哥猜已经提出将近三百年了，三百年里有多少人想要证明而不得？你想过这个比例吗？你觉得证明哥猜比考清北更容易吗？你把三百年里诞生又死去的无数有聪明才智的人放在哪里呢？
liu-yu-chen-64-63 , 这么说吧，从提出证明，到业内认定被证明，现在来看要花好几年，有这些时间考都考上了！
 , 他不是天才少年，至多算个民科。何为民科？为什么这个小伙子要搞得如同饥饿营销一样不停吊人胃口呢？真的没有炒热度博眼球的想法？我默默地去看了一下他的主页，人家关注都快破万了………失敬失敬，对不起打扰了~原来辛辛苦苦地码回答，还真没有大放厥词博人眼球来得快哈哈哈哈（苦笑）我是不是也可以说我在国学领域取得了巨大的研究成果，须知后事如何，大家快来关注我，我们2019年1月1号见分晓呀~我蹭热度  我蹭蹭蹭！借用杨绛先生说的一句话吧：
deng-xian-tao-78 , 如果一个对高等数学工具没有深刻体会的人(无论高中生还是本科生)证明出来了哥德巴赫猜想，那是对自欧拉以来的所有做数学的人的赤裸裸的侮辱，甚至是对人类文明和人类作为高等生物的整体智慧的侮辱。
liuren-98 , 华大学配不上你，真的。去北大吧：北京大学数学学院地 址: 北京市海淀区北京大学理科1号楼邮 编: 100871联系电话：010-62751804邮 箱：mathweb@math.pku.edu.cn
gu-dian-28-85 , 别忘了取关+举报别忘了取关+举报别忘了取关+举报==========================================2019年元旦你最关心的事情是○群主女装了没有?○能不能收到元旦礼物？○中美合拍的西游记上映了没有？●逼乎的高中生能否证明哥猜？————————————————————怎么这么多圣母婊，TM哥德巴赫猜想在数学界就跟广大数学工作者的亲女儿似的。有一天，一个毛头小子出来问:“我娶了你女儿能被清北保送吗？”这些个“老岳父”们并没有生气，答道:“”娶了’我女儿’是何等的荣耀，只怕你到时候还看不上保送清北，问题是200多年来，无数的青年才俊都失败了，你有什么本事能够娶到？”结果这小子直接给大佬们挨个通知:“1月1日我就要把你们女儿给睡了”这不是找骂吗？？？而且大佬们都没想继续搭理他，稍微懂点数学的人也不过出来嘲讽他两句。嘲讽两句怎么了，这么点反对的声音都听不下去那就不要到知乎来哗众取宠。这儿又不是学术平台，这儿只是沙雕网友们来找乐子的地方。
 , 谢邀。不太想回答。瞟了一眼问题，有语病，说话的语气也不对，一个热爱数学且潜心其中的理科生一般不会用这种语气说话。至少在我看来，题主的数学涵养距离证明哥德巴赫猜想还有些远。认真地了解了一下题主，发现题主是真的觉得自己证明了哥德巴赫猜想。又看了看题主动态，大多数是关于数学，而且关注的内容也都很平庸。这不是一个天才该有的动态。问题下面有很多嘲笑的，我觉得大可不必。我是真的相信这个少年不可能证明得了哥德巴赫猜想，同时也真的不希望他在这个血气未定的年纪里热情被那么多人埋汰。高中生，又是这么个骄傲倔强的小伙子，是不可能轻易承认自己也只是个普通人的，自己一定要是非凡之人才合乎情理。我的回答可能没几个人看得到，看了一下高赞的评论区，觉得知乎还是挺友好的。希望到时候大家能蹲下来，与一个十几岁的少年平视。宽容一点，体谅一个少年的倔强，不要拿成人的阅历对一个对未来这么热情的一个小伙子进行严苛要求。说真的我有点喜欢这个小伙子。
ci-yuan-16 , 如果我当了皇帝，全村的粪&amp;寡妇都是我的系列。
yu-qi-qi-64-30 , 手痒来答一发。短短几天，眼睁睁地看着吃瓜群众的数量从几十个变成了几W个……从现有的回答看，98%的人都持怀疑看法，表示从未见过逼乎下的回答态度如此一致。。。。PS :  这个问题简直我的快乐源泉，工作学习累了就来看看最新回答，哈哈。那么这个问题为啥能激起大家的g点呢，因为短短一句话的问题，有三个关键点，高中生，哥猜，清华保送。先说下哥猜。  本人文科数学渣，所以对数学知识的认识止步于高中。前几天才知乎刷到了这个问题，阅读一些数学大佬的回答后，对哥猜这个定理不明觉厉。再说高中。。我们不妨来假设一下，如果提问者没有说自己证明了这个定理，只是以一个高中生对高等数学的好奇，和求学途径的一种可能在知乎发问，那么现在回答中冷嘲热讽的比例至少少一半。那么回答中有人会热心普及哥猜这个定理的证明难度，有人会欣赏年轻人初生牛犊不怕虎的样子像极了自己当年，鼓励他保持求知欲，继续学习研究……但提问者信誓旦旦地说已经证毕，还自信地说没有任何漏洞，1月1日欢迎观看，这味道就不一样了。不啻在质疑数学界的权威性…有句话叫  无知者无畏，我觉得挺符合他现在这种情况的。各种可能大家都说的很全面了。现在我们总结下大致有这样几种观点：1.提问者是个只有初等数学程度的高中生。数学成绩和智商优于同学，但对哥猜知其然而不知所以然。所以“以为”自己已经证明出，想走捷径求学；2.提问者是个民科数学家。开了个昵称为“证明”的新号提问哥猜，且问题中故意带有高中生博眼球，涨粉张热度。也不排除有团队背后操作的可能。3.题主真的是天赋异禀，真的证明了这个定理…（当然这种可能不大）其实我比较怀疑他这篇证明的文章怎么放上来…以这种证明过程难度，没有个几千张纸完不成吧，好害怕他扔个邮箱在这里…@Sun Ao   很真诚的回答。但到达的认知层面决定了看问题的高度和角度，他可能不能完全理解和接受你的想法。毕竟这盘棋已经铺的这么大，，1.1那天是一地鸡毛还是一鸣惊人，都会成为他人生浓墨重彩的一笔。希望提问者看到这个答案@证明我们在这里拭目以待，因为不管他有没有证出，1月1号这天，这个提问都会上知乎首页的 
 , 小伙子，记住这句话吧，年轻人犯了错误上帝都会原谅。年轻真好。要珍惜。其实一个人，只要能创造出足够养活自己以及父母妻儿的价值，就完全有资格骄傲地活在这个世上了。加油。要开心。
su-xuan-yi-42 , 你能证出哥猜了，为什么不考虑拿著名学校的教职…还这个问题听起来有点好笑…相当于如果我创办了阿里巴巴，能不能拿到我们路口那个公司的offer…以及不太懂为什么数学水平暂时不高的人总感兴趣于哥猜…
qiao-xie-yan , 第一次答题，也不是很懂，就是想说有些评论的人戾气太重了，觉得他就是来博关注的，应该平躺任人嘲。我个人觉得这就是一个年轻气盛的高中生，不服输，一根筋，可能确实证明出来了一些东西，不想就这么平庸下去，因为看上面好像是说他严重偏科来着吧，就想靠自己的证明赌一把。对数学有这种兴趣是个好事，他一月一日发出来的证明不全面或者是根本不对也不该被这样嘲讽吧，至少他比大部分人都有勇气了些，何必说这么重的话来伤害别人呢。
ping-lin-xin-yue-84 , 好多人只会冷嘲热讽，简直恶心！高中是什么年纪？青涩的年纪，喜欢挑战不可能的年纪，不管结局如何，就算撞个头破血流，也不会认输、要去试一把的年纪，即使结局我们都能猜到，我还是会真诚说一句：“加油吧，小伙子。”假如他真的能猜到，保送应该不难的。大家都能猜到的结果，有什么必要多说的。我特反感的就是有些人喜欢站在一个高高的位置，品头论足冷嘲热讽，一言不合就甩出一顶民科的帽子，显得自己好高明似得。像这种问题，直接回答会和不会就行了，长篇大论，跑偏题了！回答和评论里那些阴阳怪气的嘲讽的，你们已经老了，creep to home，洗洗睡吧！
bugwuxi , 你要能证明，估计他们都得来请你当教授
gu-zhi-24 , 估计保送哈佛都没问题的。
58ddd , 哥，岂止是被北大清华录取啊，17.8岁证明出哥猜，你就能变成教科书上和高斯，费马齐名的数学伟人了好吧。还有，如果你真的高中一直在证明哥猜，你要么就真的是牛顿爱因斯坦这类百年一遇的天才，想必高中三年各类高数竞赛金牌都已经被你收入囊中了，也不必在意会不会被保送清华了吧？但是要是不是，你在高中这样一个分秒必争的时候花了3年来证明一个你不可能证出来的东西，那么，同学，还剩半年，努力一点吧，说不定还有机会上二本。
a-feng-34-23 , 我只是一个键盘数学家，不过我猜高中生能证明哥德巴赫猜想不会被数学系录取。证明哥德巴赫猜想有多难我不知道，不过可以横向比较下。数学隐士格里戈里-佩雷尔曼证明证明庞加莱猜想。(因为格里戈里-佩雷尔曼真是隐居了，所以称为数学隐士。)庞加莱猜想（Poincaré conjecture）是法国数学家庞加莱提出的一个猜想，是克雷数学研究所悬赏的七个千禧年大奖难题。其中三维的情形被俄罗斯数学家格里戈里·佩雷尔曼于2003年左右证明。2006年，数学界最终确认佩雷尔曼的证明解决了庞加莱猜想。庞加莱猜想是一个拓扑学中带有基本意义的命题，将有助于人类更好地研究三维空间，其带来的结果将会加深人们对流形性质的认识。格里戈里·佩雷尔曼在花了8年时间研究这个足有一个世纪的数学难题后，在2002年11月和2003年7月之间，将3份关键论文的手稿粘贴到http://arXiv.org这个专门刊登数学和物理预印本论文的网站上，并用电邮通知了几位数学家，声称自己证明了几何化猜想。高中生能证明哥德巴赫猜想，大概是初中发论文，小学3年级你就开始研究这些高深谜题。小学3年级就开始研究这些高深的数学猜想，你大概率小学毕业就被中科大少年班挖走了，还上什么高什么中。你根本就没有机会上高中。如果你证明了任何数学猜想，直接发稿这个网站http://arxiv.org免得被中科院的守门老大爷为难。
a-ba-wa-kong-de-ai-zhan-shi , 成則立書成佛，敗則下海幹活。是打算成為陳景潤還是成為李田所就看你今晚的表現了。 @证明 
zzx2005 , 我看我们还是要拭目以待，等待你的结果。它也许是正确的看上去很多人都不相信你，但我不一样，我相信你是正确的大家都是人，数学家也不例外，凭什么那些人能够做到，大家就不行？谁规定的，嗯？？？？？？？？？？？？？？？都学得同样的东西，证出来了就是证出来了。。退一万步说：散尽千金还复来，输了从头再来嘛，相信我没什么的。再说了，你怎么就知道人家不行？对中学生还是要以鼓励为主的吧。print('狗头')
cyn-38-1 , 我想进我们大学校队，单挑血洗詹姆斯和杜兰特，能不能当上校队首发小前锋。
liang-guo-94-96 , 不会保送他们会直接请这个天才去做教授，顺便给个院士当当。
qing-jiao-rou-si-31 , 看到楼主说要在知乎发表证明，你这要是真的证明正确的话，那可真是给知乎长脸了，这下可真是逼乎了  
ku-gang-fang-jia-fu-he , 你好，我是哥德巴赫转世，我可以帮你证明你的证明是对的，但是我现在急需999吃饭，等我吃饱了，就帮你证明我的大猜想！！并且收你为徒弟！别说清北了，什么MIT，剑桥牛津都求着你做爸爸！以后一大堆以你命名的大猜想！！ 支付宝微信都行  
chen-chang-sheng-25-77 , 如果你真的证明了，那么你可以直接去清北数学系当教授以及其他各种名校的名誉教授(挂个名字就能领工资)。至于保送清北数学系，你只要具备能切实研究哥猜的能力应该就足够了吧
yibie-jing-nian-84-3 , 欢迎给我系数论大牛孙智伟老师发邮件，如果有道理的话他应该会很有兴趣。邮箱的话登录南京大学数学系官网可得。
gu-zi-36-91 , 不知道和之前那个电荷凡伟一样吗
fang-wei-yang , 菲尔兹奖，顶级学府教职都安排上了吧。。。
